Remisión,Fecha de muestreo,Tipo de muestra 1,Tipo de muestra 2,Tipo de muestra 3,Tipo de muestra 4,EDAD 1,EDAD 2,EDAD 3,EDAD 4 ,RESISTENCIA 1,RESISTENCIA 2,RESISTENCIA 3,RESISTENCIA 4,Revenimiento,Masa Unitaria,Temperatura Ambiente,Temperatura Concreto
23417,05/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,3,7,7,284.76,285.39,324.9,325.62,18.0,2262,,
23421,07/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,3,7,7,187.29,187.92,215.1,226.8,15.0,2299,,
23424,08/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,3,7,7,222.57,212.85,251.37,262.44,19.0,2274,,
23429,09/07/2025,VIGA,VIGA,VIGA,VIGA,7,,,,32.27,,,,17.0,2280,,
23436,09/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,226.8,242,,,18.0,2246,,
23440,10/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,201.24,221,,,18.0,2262,,
23445,11/07/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,37,38,48,49,18.0,2343,,
23447,11/07/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,49,50,56,56,17.0,2269,,
23455,12/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,28,28,241.11,262,290.34,281.97,18.0,2269,,
23464,14/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,143.28,159,,,18.0,2269,,
23473,16/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,235.44,282,,,18.0,2269,,
23486,18/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,,,,197.49,,,,18.0,2258,,
23487,18/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,,,,227.88,,,,17.0,2255,,
23489,18/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,222.56,263,,,17.0,2266,,
23493,18/07/2025,VIGA,VIGA,VIGA,VIGA,7,,,,36,,,,16.0,,,
23494,18/07/2025,VIGA,VIGA,VIGA,VIGA,7,14,,,33,34,,,,,,
23499,19/07/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,50.26,48.06,57.22,56.43,,,,
23513,19/07/2025,VIGA,VIGA,VIGA,VIGA,7,,,,41.67,,,,,,,
23518,21/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,137.97,151,,,,,,
23524,23/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,14,,,331.11,390,,,,,,
23534,24/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,1,1,3,3,181.26,226.53,249.3,249.3,18.0,,,
23543,25/07/2025,VIGA,VIGA,VIGA,VIGA,3,3,7,7,42,40,44,47,16.0,2233,,
23562,29/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,,347,415,365,,18.0,2242,,
23566,29/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,,311,397,403,,22.0,,,
23572,29/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,,393,428,497,,,2280,,
23574,29/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,,398,435,433,,21.0,2256,,
23575,29/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,3,7,14,,383,427,402,,21.0,2256,,
23596,31/07/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,,,,152.46,,,,18.5,2256,,
23603,02/08/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,,,,194.13,,,,21.0,,,
23615,04/08/2025,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,7,,,,157.68,,,,21.0,0,,
23619,05/08/2025,VIGA,VIGA,VIGA,VIGA,7,,,,30.67,,,,,2262,,
23621,05/08/2025,VIGA,VIGA,VIGA,VIGA,1,3,3,7,37,48,49,44,,,,
23622,05/08/2025,VIGA,VIGA,VIGA,VIGA,1,3,3,7,43,54,50,56,19.0,2225,26,28
