Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Comentario1,Fecha de validez,Estatus,Consistencia2,Exposure class,Volumen de concreto,% contenido de aire,Factor G,Metodo,10001 / C1 / CEMEX,30000 / A1 / GENERICO,40000 / G10 / CEMEX,40001 / G20 / CEMEX,40002 / G40 / CEMEX,40004 / G202 / GRAVA 20 MM,50001 / ARL / CEMEX,50002 / AR1 / CEMEX,50003 / AR2 / ARENA SECA,60000 / A92 / CEMEX,60001 / M12 / CEMEX,60002 / A55 / CEMEX,60003 / R22 / CEMEX,60004 / A52 / CEMEX,70001 / KRYTON / AUTOSELLANTE,70003 / SKLITE / IMPERMEABILIZANTE
P002,10000095,10000095,20000088,6-200-2-1-28-14-D-2-000,6-200-2-1-28-14,CON,6,      ,200,28,28,2,1,14,14,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,,1001.27,0.00,0,,268.00,200.00,,1059.00,,,,,814.00,,1.07,,1.88,,,
P002,10000097,10000097,20000090,6-150-2-1-28-18-D-2-000,6-150-2-1-28-18,CON,6,      ,150,28,28,2,1,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,996.58,0.00,0,,247.00,208.00,,951.00,,,,,905.00,,0.99,,1.73,,,
P002,10000098,10000098,20000090,6-150-2-1-28-18-B-2-000,6-150-2-1-28-18,CON,6,      ,150,28,28,2,1,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,996.58,0.00,0,,247.00,208.00,,951.00,,,,,905.00,,0.99,,1.73,,,
P002,10000037,10000037,20000037,R-065-0-B-28-18-D-2-000,R-065-0-B-28-18,RFL,R,      ,65,28,28,0,B,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,860.58,0.00,0,,245.00,220.00,,,,,,,1462.00,,,,,,,
P002,10000416,10000416,20000366,R-065-0-A-28-18-B-2-000,R-065-0-A-28-18,RFL,R,      ,65,28,28,0,A,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,860.58,0.00,0,,245.00,220.00,,,,,,,1462.00,,,,,,,
P002,10000416,10000416,20000366,R-065-0-A-28-18-B-2-000,R-065-0-A-28-18,RFL,R,      ,65,28,28,0,A,18,18,B,2,0,2,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,860.73,0.00,0,,245.00,220.00,,,,,,,1462.00,,,,,0.15,,
P002,10000454,10000454,20000402,P-048-40-1-28-10-D-2-000,P-048-40-1-28-10,PAV,P,      ,48,28,28,40,1,10,10,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,,1000.61,0.00,0,,440.00,195.00,,,1200.00,,,,538.00,,1.32,,3.96,,,
P002,10000117,10000117,20000107,6-250-2-1-14-14-D-2-100,6-250-2-1-14-14,CRR,6,      ,250,14,14,2,1,14,14,D,2,100,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,,979.72,0.00,0,,380.00,220.00,,942.00,,,,,725.00,,1.50,,2.50,,,
P002,10000036,10000036,20000036,6-350-2-B-071-18-B-2-000,6-350-2-B-071-18,CON,6,      ,350,1,7,2,B,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1010.12,0.00,0,,466.00,217.00,,970.00,,,,,710.00,,1.86,,3.26,,,
P002,10000015,10000015,20000015,A-550-2-B-031-50-B-2-000,A-550-2-B-031-50,ALR,A,      ,550,3,3,2,B,50,50,B,2,0,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,,993.01,0.00,0,,670.00,185.00,,745.00,,,,,801.00,3.40,1.34,,,,,
P002,10000076,10000076,20000069,A-550-2-B-031-50-D-2-100,A-550-2-B-031-50,ALR,A,      ,550,3,3,2,B,50,50,D,2,100,1,,01/01/2050,Active,EXTENSIBILIDAD 50 cm +/-10,,993.01,0.00,0,,670.00,185.00,,745.00,,,,,801.00,3.40,1.34,,,,,
P002,10000052,10000052,20000050,6-250-2-B-031-18-D-2-000,6-250-2-B-031-18,CON,6,      ,250,3,3,2,B,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1049.20,0.00,0,,420.00,240.00,,980.00,,,,,780.00,,2.10,,3.10,,,
P002,10000429,10000429,20000377,6-350-1-1-03-18-D-2-100,6-350-1-1-03-18,CON,6,      ,350,3,3,1,1,18,18,D,2,100,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,990.99,0.00,0,,510.00,216.00,1000.00,,,,,,596.00,1.02,2.29,,3.57,,,
P002,10000092,10000092,20000085,F-350-2-1-03-18-B-2-000,F-350-2-1-03-18,CRR,F,      ,350,3,3,2,1,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,997.69,0.00,0,,510.00,216.00,,1014.00,,,,,596.00,1.02,2.29,,3.57,,,
P002,10000101,10000101,20000085,F-350-2-1-03-18-D-2-000,F-350-2-1-03-18,CRR,F,      ,350,3,3,2,1,18,18,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,997.69,0.00,0,,510.00,216.00,,1014.00,,,,,596.00,1.02,2.29,,3.57,,,
P002,10000056,10000056,20000053,6-250-2-B-03-18-B-2-000,6-250-2-B-03-18,CON,6,      ,250,3,3,2,B,18,18,B,2,0,1,,01/01/2050,Active,REVENIMIENTO 18 cm +/- 3.5,,1049.20,0.00,0,,420.00,240.00,,980.00,,,,,780.00,,2.10,,3.10,,,
P002,10000057,10000057,20000054,P-045-40-B-03-10-D-2-000,P-045-40-B-03-10,PAV,P,      ,45,3,3,40,B,10,10,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,,1019.43,0.00,0,,442.00,215.00,,,1182.00,,,,550.00,,2.10,,3.54,,,
P002,10000068,10000068,20000061,P-042-2-1-03-14-D-2-000,P-042-2-1-03-14,PAV,P,      ,42,3,3,2,1,14,14,D,2,0,1,,01/01/2050,Active,REVENIMIENTO 14 cm +/- 3.5,,1021.48,0.00,0,,485.00,195.00,,1100.00,,,,,654.00,,1.70,,3.20,,,
P002,10000078,10000078,20000071,C-250-1-1-01-75-D-2-DIA,C-250-1-1-01-75,ESP,C,      ,250,1,1,1,1,75,75,D,2,DIA,1,,01/01/2050,Active,EXTENSIBILIDAD 75 cm +/-5,,1020.00,0.00,0,,650.00,185.00,700.00,,,,842.00,,,4.55,,7.80,,,,
