Planta,Certify Index,ID Producto Técnico,ID Comercial,Código largo,Descripción comercial,Grupo de aplicación,Estándar,Exposición,Resistencia,Edad,Edad técnica,Tamaño Máx. Agregado,Origen,Consistencia,Cons. Técnica,Bomba,Tipo Binder,Variante,Id Receta,Tiempo de Mezclado,AggRecicladoMaximo,TiempoDisparoEspuma,Max Tamaño de Carga,Etiqueta Curva Granulometría,AguaRecDeFinosMáx,% de agua reciclada,Clase de cloruro,Clases de álcali,Nivel de aire mínimo,Adición de agua Máx.,Desarrollo de resistencia,Otra limitante,Contenido por cliente min,Plastificante máximo permitido,Lugar para agregar plastificante,Máximo autorizado de adición de agua,Tiempo de uso,Comentario1,Comentario2,Comentario3,Comentario interno,Fecha de validez,Estatus,Consistencia,Exposure class,Lugar para agregar la consistencia,ml de adición máx,PlaceAddAdmixtureML,Volumen de concreto,% contenido de aire,Factor G,Costo de mezcla,Metodo,C1,C1 / 10001 / CEMEX,C1,C1 / 10001 / CEMEX,C1,C2 / CEMEX,C3,C3,A1 / GENERICO,A1 / 30000 / GENERICO,A1 / 30000 / GENERICO,A1,A1,A1,GB2,% - GB2,GB2,% - GB2,GB4,% - GB4,GB4,% - GB4,GC1 / Gramol,% - GC1,GC2 / Gramol,% - GC2,AC4 / Gramol,% - AC4,AR / GENERICO,% - AR,ART1,% - ART1,ART1,% - ART1,ARY,% - ARY,ARY,% - ARY,800 MX,% - 800 MX,800 MX,% - 800 MX,A52,% - A52,A52 / CEMEX,% - A52,A52,% - A52,A55 / 60002 / CEMEX,% - A55,A55,% - A55,A55 / 60002 / CEMEX,% - A55,A92 / 60000 / CEMEX,% - A92,A92,% - A92,A92 / 60000 / CEMEX,% - A92,A92 / 60000 / CEMEX,% - A92,AE2,% - AE2,AE2,% - AE2,D18 / CEMEX,% - D18,KRYTON / 70001 / AUTOSELLANTE,% - KRYTON,M12 / 60001 / CEMEX,% - M12,M12,% - M12,M12 / 60001 / CEMEX,% - M12,R22 / 60003 / CEMEX,% - R22,R22,% - R22,R22 / 60003 / CEMEX,% - R22,SKLITE / 70003 / IMPERMEABILIZANTE,% - SKLITE,SR53,% - SR53,SR53,% - SR53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1@C1@1@D@1,1@C1@2@D@1,1@C1@3@D@1,1@C1@4@D@1,1@C1@5@D@1,1@C2@6@D@1,1@C3@7@D@1,1@C3@8@D@1,3@A1@1@D@1,3@A1@2@D@1,3@A1@3@D@1,3@A1@4@D@1,3@A1@5@D@1,3@A1@6@D@1,4@GB2@1@D@10,4@GB2@1@P@0,4@GB2@2@D@10,4@GB2@2@P@0,4@GB4@3@D@10,4@GB4@3@P@0,4@GB4@4@D@10,4@GB4@4@P@0,4@GC1@5@D@10,4@GC1@5@P@0,4@GC2@6@D@10,4@GC2@6@P@0,4@AC4@1@D@10,4@AC4@1@P@0,4@AR@2@D@10,4@AR@2@P@0,4@ART1@3@D@10,4@ART1@3@P@0,4@ART1@4@D@10,4@ART1@4@P@0,4@ARY@5@D@10,4@ARY@5@P@0,4@ARY@6@D@10,4@ARY@6@P@0,6@800 MX@1@D@13,6@800 MX@1@P@0,6@800 MX@2@D@13,6@800 MX@2@P@0,6@A52@3@D@13,6@A52@3@P@0,6@A52@4@D@13,6@A52@4@P@0,6@A52@5@D@13,6@A52@5@P@0,6@A55@6@D@13,6@A55@6@P@0,6@A55@7@D@13,6@A55@7@P@0,6@A55@8@D@13,6@A55@8@P@0,6@A92@9@D@13,6@A92@9@P@0,6@A92@10@D@13,6@A92@10@P@0,6@A92@11@D@13,6@A92@11@P@0,6@A92@12@D@13,6@A92@12@P@0,6@AE2@13@D@13,6@AE2@13@P@0,6@AE2@14@D@13,6@AE2@14@P@0,6@D18@15@D@13,6@D18@15@P@0,6@KRYTON@16@D@13,6@KRYTON@16@P@0,6@M12@17@D@13,6@M12@17@P@0,6@M12@18@D@13,6@M12@18@P@0,6@M12@19@D@13,6@M12@19@P@0,6@R22@20@D@13,6@R22@20@P@0,6@R22@21@D@13,6@R22@21@P@0,6@R22@22@D@13,6@R22@22@P@0,6@SKLITE@23@D@13,6@SKLITE@23@P@0,6@SR53@24@D@13,6@SR53@24@P@0,6@SR53@25@D@13,6@SR53@25@P@0,,,,,,
,,,,5-100-2-B-28-10-D-2-000,5-100-2-B-28-10-D-2-000,,,,100,28,28,20,,10,10,D,B,000,,,,,,,,,,,,,,,,,,,,,,,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,,,,,1000,1.5,,,,,,,,205,,,,,,,,272,,865,,,,,,,,,,,,,,,,632,,,,271,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,5-100-2-B-28-10-D-2-000,5-100-2-B-28-10-D-2-000,,,,100,28,28,20,,10,10,D,B,000,,,,,,,,,,,,,,,,,,,,,,,,01/01/2050,Active,REVENIMIENTO 10 cm +/- 2.5,,,,,1000,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,813,,1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
