Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,CARGA 1 (KG),CARGA 2 (KG),CARGA 3 (KG),CARGA 4 (KG)
Planta 3,3088,F'c,HORA,14,45856,20:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,33570,55780,61300,
Planta 3,3090,F'c,HORA,14,45857,12:49,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50670,61270,65500,
Planta 3,3095,F'c,HORA,14,45857,14:31,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,47090,60590,67800,
Planta 3,3100,F'c,HORA,14,45857,16:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,48320,60620,,
Planta 3,3104,F'c,HORA,14,45858,13:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,29320,32070,,
Planta 3,3105,F'c,HORA,14,45859,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,37130,38680,42230,
Planta 3,3109,F'c,HORA,14,45859,14:25,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50420,61300,,
Planta 3,3114,F'c,HORA,14,45859,17:27,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49880,62450,,
Planta 3,3119,F'c,HORA,14,45859,19:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49590,61580,,
Planta 3,3124,F'c,DÍA,1,45860,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,,36870,41780,46340
Planta 3,3128,F'c,HORA,14,45860,13:04,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50460,60820,,
Planta 3,3132,F'c,HORA,14,45860,16:53,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49550,61560,,
Planta 3,3136,F'c,HORA,14,45860,18:10,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49670,59550,,
Planta 3,3141,F'c,HORA,14,45860,21:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50170,62090,,
Planta 3,3147,F'c,HORA,14,45861,14:32,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,53470,61870,,
Planta 3,3152,F'c,HORA,14,45861,17:41,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,52740,63370,,
Planta 3,3156,F'c,HORA,14,45861,19:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,44900,61350,,
Planta 3,3160,F'c,HORA,24,45862,6:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,31720,43650,,
Planta 3,3164,F'c,HORA,14,45862,13:09,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49830,61840,,
Planta 3,3169,F'c,HORA,14,45862,16:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,50230,65480,,
Planta 3,3173,F'c,HORA,14,45862,17:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,33250,46560,,
Planta 3,3174,F'c,HORA,14,45862,23:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49340,61350,66840,
Planta 3,3179,F'c,HORA,24,45863,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,49560,62480,,
