Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4
Planta 2,7880,F'c,DÍA,28,45845,12:40,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2327.21,24,31,7,14,28,28
Planta 2,7881,F'c,DÍA,28,45845,12:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2275,34,31,7,14,28,28
Planta 2,7891,F'c,DÍA,3,45845,15:22,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2308,33,31,1,1,3,3
Planta 2,7908,F'c,DÍA,3,45846,00:59,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2326,21,25,1,1,3,3
Planta 2,7942,F'c,DÍA,28,45847,00:59,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2324,25,30,7,14,28,28
Planta 2,7952,F'c,DÍA,3,45847,16:17,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,23,2336,28,30,1,1,3,3
Planta 2,7958,F'c,DÍA,28,45847,21:27,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,23,2294,26,30,7,14,28,28
Planta 2,7969,F'c,DÍA,3,45848,2:48,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2302,27,29,1,1,3,3
Planta 2,7979,F'c,DÍA,3,45848,6:33,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,29,2316,27,29,1,1,3,3
Planta 2,8005,F'c,DÍA,28,45849,15:41,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2330,27,30,7,14,28,28
Planta 2,8010,F'c,DÍA,3,45849,19:37,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,72,2300,24,31,1,1,3,3
Planta 2,8013,F'c,DÍA,3,45849,22:33,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 15 X 15,21,2318,22,29,1,1,3,3
Planta 2,8036,F'c,DÍA,28,45851,01:12,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,22,2298,26,26,7,14,28,28
Planta 2,8042,F'c,DÍA,3,45851,04:09,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2314,26,26,1,1,3,3
Planta 2,8051,F'c,DÍA,3,45851,7:27,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2307,25,25,1,1,3,3
Planta 2,8094,F'c,DÍA,28,45853,10:00,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,25,2330,31,30,7,14,28,28
Planta 2,8103,F'c,DÍA,28,45853,12:05,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,25,2324,25,25,7,14,28,28
Planta 2,8115,F'c,DÍA,28,45853,14:35,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,25,2342,29,31,7,14,28,28
Planta 2,8124,F'c,DÍA,28,45853,18:46,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2368,29,31,7,14,28,28
Planta 2,8163,F'c,DÍA,28,45855,21:06,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,25,2326,29,31,7,14,28,28
Planta 2,8134,MR,DÍA,28,45853,8:47,4,VIGA,VIGA,VIGA,CUBO 10 X 10,16,2362,27,32,7,28,28,
Planta 2,8171,F'c,DÍA,28,45856,9:44,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2356,26,29,7,14,28,28
Planta 2,8179,MR,DÍA,28,45857,13:30,4,VIGA,VIGA,VIGA,VIGA,15,2362,26,29,7,28,28,
Planta 2,8200,F'c,DÍA,28,45857,13:30,4,CUBO 10 X 10,CILINDRO 10,CUBO 10 X 10,CUBO 10 X 10,21,2344,22,28,7,14,28,28
Planta 2,8234,MR,DÍA,28,45860,7:33,4,VIGA,VIGA,VIGA,VIGA,14,2372,19,29,7,28,28,
Planta 2,8263,F'c,DÍA,28,45861,01:17,4,CUBO 10 X 10,CUBO 15 X 15,CUBO 10 X 10,CUBO 10 X 10,24,2336,20,28,7,14,28,28
Planta 2,8295,F'c,DÍA,28,45861,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60,2322,20,31,7,14,28,28
Planta 2,8308,F'c,DÍA,28,45861,19:17,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2348,20,29,7,14,28,28
Planta 2,8318,F'c,DÍA,3,45861,22:12,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,20,2330,18,26,1,1,3,3
Planta 2,8263,F'c,DÍA,28,45861,01:19,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 15 X 15,24,2337,20,28,7,14,28,28
Planta 2,8295,F'c,DÍA,28,45861,16:00,4,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,60,2323,20,31,7,14,28,28
Planta 2,8308,F'c,DÍA,28,45861,19:17,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,22,2349,20,29,7,14,28,28
Planta 2,8318,F'c,DÍA,3,45861,22:12,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,20,2331,18,26,1,1,3,3
Planta 2,8345,MR,DÍA,28,45862,10:54,4,VIGA,VIGA,VIGA,VIGA,14,2373,24,28,7,28,28,
Planta 2,8366,MR,DÍA,28,45863,8:59,4,VIGA,VIGA,VIGA,VIGA,13,2375,23,28,7,28,28,
Planta 2,8386,F'c,DÍA,3,45863,15:33,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2335,25,31,1,1,3,3
Planta 2,8416,MR,DÍA,28,45864,9:14,4,VIGA,VIGA,VIGA,VIGA,14,2355,24,27,7,28,28,
Planta 2,8418,MR,DÍA,28,45864,9:52,4,VIGA,VIGA,VIGA,VIGA,14,2359,25,29,7,28,28,
Planta 2,8435,F'c,DÍA,3,45865,13:32,4,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,CUBO 15 X 15,21,2337,26,28,1,1,3,3
