Planta,Número de remisión,Clasificación,Edad (DÍA / HORA),VALOR EDAD,Fecha muestreo,Hora de Muestreo,Cantidad de Muestras,TIPO DE MUESTRA 1,TIPO DE MUESTRA 2,TIPO DE MUESTRA 3,TIPO DE MUESTRA 4,Revenimiento/Extensibilidad de Muestreo,Masa Unitaria,Temperatura ambiente,Temperatura del concreto,EDAD 1,EDAD 2,EDAD 3,EDAD 4
Planta 3,3070,F'c,HORA,14,45855,18:55,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2399,27,27,0,0,1,1
Planta 3,3075,F'c,HORA,18,45855,20:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2405,28,30.1,0,0,1,1
Planta 3,3079,F'c,DÍA,1,45856,6:07,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2403,27,28,1,1,3,
Planta 3,3083,F'c,HORA,14,45856,14:34,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2411,38,34.2,0,0,1,1
Planta 3,3088,F'c,HORA,14,45856,20:13,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2437,25,31,0,0,1,1
Planta 3,3090,F'c,HORA,14,45857,12:49,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2419,37,31,0,0,1,1
Planta 3,3095,F'c,HORA,14,45857,14:31,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2385,37,33.8,0,0,1,1
Planta 3,3100,F'c,HORA,14,45857,16:38,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2403,34,31,0,0,1,1
Planta 3,3104,F'c,HORA,14,45858,13:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2413,28,33,0,0,1,1
Planta 3,3105,F'c,HORA,14,45859,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2409,25,29,0,0,1,1
Planta 3,3109,F'c,HORA,14,45859,14:25,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2399,37,33.8,0,0,1,1
Planta 3,3114,F'c,HORA,14,45859,17:27,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2415,31,33.6,0,0,1,1
Planta 3,3119,F'c,HORA,14,45859,19:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2403,26,29,0,0,1,1
Planta 3,3124,F'c,DÍA,1,45860,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,20,2385,27,28.8,1,1,3,
Planta 3,3128,F'c,HORA,14,45860,13:04,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2409,36,34,0,0,1,1
Planta 3,3132,F'c,HORA,14,45860,16:53,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2425,29,29,0,0,1,1
Planta 3,3136,F'c,HORA,14,45860,18:10,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2403,27,28.4,0,0,1,1
Planta 3,3141,F'c,HORA,14,45860,21:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2405,26,28,0,0,1,1
Planta 3,3147,F'c,HORA,14,45861,14:32,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2409,37,34.4,0,0,1,1
Planta 3,3152,F'c,HORA,14,45861,17:41,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2399,30,33.3,0,0,1,1
Planta 3,3156,F'c,HORA,14,45861,19:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2433,26,30.3,0,0,1,1
Planta 3,3160,F'c,HORA,24,45862,6:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2399,27,29,0,0,1,1
Planta 3,3164,F'c,HORA,14,45862,13:09,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2399,38,35.3,0,0,1,1
Planta 3,3169,F'c,HORA,14,45862,16:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2421,32,33.4,0,0,1,1
Planta 3,3173,F'c,HORA,14,45862,17:57,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,76,2401,31,32.3,0,0,1,1
Planta 3,3174,F'c,HORA,14,45862,23:50,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2401,20,22.3,0,0,1,1
Planta 3,3179,F'c,HORA,24,45863,6:00,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,21,2397,26,28,0,0,1,1
Planta 3,3184,F'c,HORA,14,45863,14:39,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2411,38,35.3,0,0,1,1
Planta 3,3188,F'c,HORA,14,45863,18:11,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2405,31,33.3,0,0,1,1
Planta 3,3189,F'c,HORA,14,45864,12:45,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,75,2415,36,34,0,0,1,1
Planta 3,3193,F'c,HORA,14,45864,16:34,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,74,2399,35,32,0,0,1,1
Planta 3,3197,F'c,HORA,14,45864,17:29,3,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,CUBO 10 X 10,77,2403,35,30,0,0,1,1
