Remisión,Estatus,Volumen,#Cliente,Cliente,Obra,Punto de entrega,Prod Comercial,Prod Tecnico,Product Description,Resistencia Diseño,Comentarios Externos,Camion,Placas,Chofer,B/NB,Fecha,Hora Carga,A1-Teórica,A1-Real,A1-$,A55-Teórica,A55-Real,A55-$,A92-Teórica,A92-Real,A92-$,ARL-Teórica,ARL-Real,ARL-$,C1-Teórica,C1-Real,C1-$,G10-Teórica,G10-Real,G10-$,G20-Teórica,G20-Real,G20-$,M12-Teórica,M12-Real,M12-$,R22-Teórica,R22-Real,R22-$,Costo Total ,Costo / m3,Costo / F'c,Cemento / m3,Ponderado F'c - M3,Ponderado F'c - Cemento,% del Volumen,Cemento / F'c
P003-002859,Terminado,5.70,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"NAVE ALAMAR
686MTTO11_0015
686MTTO11_0016
686MTTO12_0022
686MTTO12_0023
686MTTO12_0024
686MTTO17_0011
686MTTO17_0012
686MTTO18_0003",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,5:51:21 AM,974.1,975.0,45.7,0.0,0.0,0.0,7.8,7.9,733.8,"3,802.9","3,781.0","2,711.1","3,135.0","3,133.0","11,968.1",0.0,0.0,0.0,"5,728.0","5,768.0","1,362.7",0.0,0.0,0.0,18.8,0.0,0.0,"$16,821.32","$2,951.11",$48.06,549.6,503.8,510.3242355,0.002518669,1.6
P003-002860,Terminado,4.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"NAVE ALAMAR
686MTTO11_0015
686MTTO11_0016
686MTTO12_0022
686MTTO12_0023
686MTTO12_0024
686MTTO17_0011
686MTTO17_0012
686MTTO18_0003",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,7:20:39 AM,759.6,760.0,35.6,0.0,0.0,0.0,5.4,5.6,516.4,"2,592.8","2,559.0","1,834.9","2,200.0","2,208.0","8,434.6",0.0,0.0,0.0,"4,019.7","4,029.0",951.9,0.0,0.0,0.0,13.2,0.0,0.0,"$11,773.28","$2,943.32",$33.64,552.0,503.8,510.3242355,0.001767487,1.6
P003-002861,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,PISTA TECNOSPAN,PISTA TECNOSPAN,20000008,10000008,5-250-2-R-28-18-D-2-000-C,250.00,"LRP-08
PISTA TECNOSPAN
IMPLEMENTACIONES
ADECUACION DE BASE",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,10:35:57 AM,923.1,51.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,"4,311.0","4,265.0","3,058.2","1,675.0","1,667.0","6,367.9","1,687.5","1,761.0",573.2,"3,068.4","3,074.0",726.2,4.7,0.0,0.0,11.0,0.0,0.0,"$10,727.93","$2,145.59",$42.91,333.4,503.8,510.3242355,0.002209359,1.3
P003-002862,Terminado,6.60,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"LRP-03
NAVE ALAMAR
686MTT011_0015
686MTT011_0016
686MTT012_0022
686MTT012_0023
686MTT012_0024
686MTT017_0011
686MTT017_0012
686MTT018_0003
",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/1/25,11:09:03 AM,"1,253.3","1,254.0",58.7,0.0,0.0,0.0,9.1,9.1,842.5,"4,278.1","4,247.0","3,045.3","3,630.0","3,597.0","13,740.5",0.0,0.0,0.0,"6,632.4","6,570.0","1,552.2",0.0,0.0,0.0,21.8,0.0,0.0,"$19,239.19","$2,915.03",$54.97,545.0,503.8,510.3242355,0.002916354,1.6
P003-002867,Terminado,7.40,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"LRP-03
NAVE ALAMAR
686MTT011_0015
686MTT011_0016
686MTT012_0022
686MTT012_0023
686MTT012_0024
686MTT017_0011
686MTT017_0012
686MTT018_0003
",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,3:15:07 PM,"1,428.6","1,429.0",66.9,0.0,0.0,0.0,10.1,10.3,951.2,"4,773.2","4,727.0","3,389.4","4,070.0","4,076.0","15,570.3",0.0,0.0,0.0,"7,436.4","7,495.0","1,770.7",0.0,0.0,0.0,24.4,0.0,0.0,"$21,748.59","$2,939.00",$62.14,550.8,503.8,510.3242355,0.003269851,1.6
P003-002863,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/1/25,2:23:24 PM,689.6,690.0,32.3,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,415.7","5,434.0","3,896.4","3,900.0","3,921.0","14,978.2","4,256.7","4,296.0","1,398.3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,065.57","$4,344.26",$47.39,653.5,503.8,510.3242355,0.002651231,1.2
P003-002864,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/1/25,2:38:35 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,437.0","3,898.5","3,900.0","3,859.0","14,741.4","4,256.7","4,323.0","1,407.1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,840.84","$4,306.81",$46.98,643.2,503.8,510.3242355,0.002651231,1.2
P003-002865,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/1/25,2:48:33 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,458.0","3,913.6","3,900.0","3,906.0","14,920.9","4,256.7","4,315.0","1,404.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,032.83","$4,338.81",$47.33,651.0,503.8,510.3242355,0.002651231,1.2
P003-002866,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/1/25,3:03:53 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,338.0","3,827.5","3,900.0","3,908.0","14,928.6","4,256.7","4,281.0","1,393.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,943.36","$4,323.89",$47.17,651.3,503.8,510.3242355,0.002651231,1.2
P003-002868,Terminado,5.75,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M3
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0014
EJE 3-4",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/1/25,3:27:57 PM,685.0,686.0,32.1,44.7,44.9,"3,271.1",24.1,24.3,"2,246.7","5,165.9","5,141.0","3,686.3","3,737.5","3,745.0","14,305.9","4,079.3","4,138.0","1,346.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$24,889.05","$4,328.53",$45.25,651.3,503.8,510.3242355,0.002540763,1.2
P003-002869,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000102,10000112,8-550-2-1-814-E70-D-2-DIA,550.00,"F2-M2
VIADUCTO TIJUANA
VIADUCTO 03
CAB3001_0005
V03-27",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/1/25,4:09:08 PM,740.6,741.0,34.7,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,298.0","5,073.0","3,637.5","3,900.0","3,868.0","14,775.8","2,852.0","2,918.0",949.8,"1,501.4","1,510.0",356.7,0.0,0.0,0.0,0.0,0.0,0.0,"$25,514.85","$4,252.47",$46.39,644.7,503.8,510.3242355,0.002651231,1.2
P003-002870,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000102,10000112,8-550-2-1-814-E70-D-2-DIA,550.00,"F2-M2
VIADUCTO TIJUANA
VIADUCTO 03
CAB3001_0005
V03-27",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/1/25,4:24:35 PM,740.6,741.0,34.7,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,298.0","5,356.0","3,840.5","3,900.0","3,913.0","14,947.7","2,852.0","2,899.0",943.6,"1,501.4","1,541.0",364.1,0.0,0.0,0.0,0.0,0.0,0.0,"$25,890.81","$4,315.13",$47.07,652.2,503.8,510.3242355,0.002651231,1.2
P003-002871,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000102,10000112,8-550-2-1-814-E70-D-2-DIA,550.00,"F2-M2
VIADUCTO TIJUANA
VIADUCTO 03
CAB3001_0005
V03-27",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/1/25,4:36:07 PM,740.6,741.0,34.7,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,298.0","5,262.0","3,773.0","3,900.0","3,909.0","14,932.4","2,852.0","2,887.0",939.7,"1,501.4","1,533.0",362.2,0.0,0.0,0.0,0.0,0.0,0.0,"$25,802.33","$4,300.39",$46.91,651.5,503.8,510.3242355,0.002651231,1.2
P003-002872,Terminado,4.30,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000102,10000112,8-550-2-1-814-E70-D-2-DIA,550.00,"F2-M2
VIADUCTO TIJUANA
VIADUCTO 03
CAB3001_0005
V03-27",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/1/25,4:51:31 PM,530.8,531.0,24.9,33.5,33.6,"2,449.8",18.1,18.2,"1,685.0","3,796.9","3,809.0","2,731.2","2,795.0","2,802.0","10,703.6","2,043.9","2,078.0",676.4,"1,076.0","1,105.0",261.1,0.0,0.0,0.0,0.0,0.0,0.0,"$18,531.94","$4,309.75",$33.69,651.6,503.8,510.3242355,0.001900049,1.2
P003-002873,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000094,10000104,3-550-2-1-514-E70-D-2-DIA,550.00,"M1-PDF
VIADUCTO TIJUANA
VIADUCTO 03
PDF3002_0016
V03-20",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/1/25,7:11:00 PM,717.9,718.0,33.6,43.1,43.2,"3,149.7",21.5,21.7,"2,002.1","5,518.5","5,483.0","3,931.5","3,600.0","3,605.0","13,771.1","2,870.2","2,906.0",945.9,"1,513.3","1,555.0",367.4,0.0,0.0,0.0,0.0,0.0,0.0,"$24,201.31","$4,033.55",$44.00,600.8,503.8,510.3242355,0.002651231,1.1
P003-002874,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000094,10000104,3-550-2-1-514-E70-D-2-DIA,550.00,"M1-PDF
VIADUCTO TIJUANA
VIADUCTO 03
PDF3002_0016
V03-20",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/1/25,7:20:49 PM,598.2,599.0,28.1,36.0,36.1,"2,628.3",18.0,18.0,"1,666.9","4,598.8","4,532.0","3,249.6","3,000.0","2,966.0","11,330.1","2,391.9","2,453.0",798.5,"1,261.1","1,430.0",337.8,0.0,0.0,0.0,0.0,0.0,0.0,"$20,039.30","$4,007.86",$36.44,593.2,503.8,510.3242355,0.002209359,1.1
P003-002875,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M4
VIADUCTO TIJUANA
PUENTE OTAY
TNU02_0007
EJE 1-2",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/2/25,12:38:03 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,356.0","3,840.5","3,900.0","3,859.0","14,741.4","4,256.7","4,314.0","1,404.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,779.83","$4,296.64",$46.87,643.2,503.8,510.3242355,0.002651231,1.2
P003-002876,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M4
VIADUCTO TIJUANA
PUENTE OTAY
TNU02_0007
EJE 1-2",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/2/25,12:48:36 PM,714.8,725.0,34.0,46.6,46.7,"3,406.8",25.1,25.3,"2,337.3","5,390.5","5,331.0","3,822.5","3,900.0","3,953.0","15,100.5","4,256.7","4,291.0","1,396.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,097.76","$4,349.63",$47.45,658.8,503.8,510.3242355,0.002651231,1.2
P003-002877,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M4
VIADUCTO TIJUANA
PUENTE OTAY
TNU02_0007
EJE 1-2",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/2/25,1:02:13 PM,724.9,725.0,34.0,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,380.4","5,343.0","3,831.1","3,900.0","3,859.0","14,741.4","4,256.7","4,295.0","1,398.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,764.79","$4,294.13",$46.85,643.2,503.8,510.3242355,0.002651231,1.2
P003-002878,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M4
VIADUCTO TIJUANA
PUENTE OTAY
TNU02_0007
EJE 1-2",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/2/25,1:13:20 PM,724.9,725.0,34.0,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,380.4","5,342.0","3,830.4","3,900.0","3,854.0","14,722.3","4,256.7","4,322.0","1,406.8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,753.76","$4,292.29",$46.83,642.3,503.8,510.3242355,0.002651231,1.2
P003-002879,Terminado,5.75,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M4
VIADUCTO TIJUANA
PUENTE OTAY
TNU02_0007
EJE 1-2",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/2/25,1:25:06 PM,694.7,695.0,32.6,44.7,44.9,"3,271.1",24.1,24.3,"2,246.7","5,156.2","5,133.0","3,680.6","3,737.5","3,696.0","14,118.7","4,079.3","4,130.0","1,344.3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$24,693.95","$4,294.60",$44.90,642.8,503.8,510.3242355,0.002540763,1.2
P003-002880,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO ELEVADO MATADERO,VIADUCTO ELEVADO MATADERO,20000095,10000105,L-350-2-1-714-E70-D-2-DIA,350.00,"LRP-04
VIADUCTO MATADERO
PRL309A_0001
PRL310A_0001
PRL300B_0054
PRL300B_0053
PRL309C_0001
PRL310C_0001
",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/2/25,1:46:32 PM,584.7,585.0,27.4,41.9,42.0,"3,064.0",19.6,19.6,"1,811.8","4,765.0","4,723.0","3,386.6","2,750.0","2,760.0","10,543.2","2,320.9","2,363.0",769.2,"1,514.3","1,509.0",356.5,0.0,0.0,0.0,0.0,0.0,0.0,"$19,958.67","$3,991.73",$57.02,552.0,503.8,510.3242355,0.002209359,1.6
P003-002881,Terminado,4.50,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO ELEVADO MATADERO,VIADUCTO ELEVADO MATADERO,20000095,10000105,L-350-2-1-714-E70-D-2-DIA,350.00,"LRP-04
VIADUCTO MATADERO
PRL309A_0001
PRL310A_0001
PRL300B_0054
PRL300B_0053
PRL309C_0001
PRL310C_0001
",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/2/25,1:55:13 PM,526.2,527.0,24.7,37.8,37.8,"2,756.9",17.6,17.6,"1,630.6","4,288.5","4,345.0","3,115.5","2,475.0","2,483.0","9,485.1","2,088.8","2,132.0",694.0,"1,362.9","1,396.0",329.8,0.0,0.0,0.0,0.0,0.0,0.0,"$18,036.59","$4,008.13",$51.53,551.8,503.8,510.3242355,0.001988423,1.6
P003-002882,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M1
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0034
EJE 6-7",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/2/25,3:29:45 PM,724.9,725.0,34.0,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,380.4","5,342.0","3,830.4","3,900.0","3,852.0","14,714.6","4,256.7","4,318.0","1,405.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,744.82","$4,290.80",$46.81,642.0,503.8,510.3242355,0.002651231,1.2
P003-002883,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M1
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0034
EJE 6-7",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/2/25,3:41:25 PM,724.9,714.0,33.4,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,380.4","5,352.0","3,837.6","3,900.0","3,964.0","15,142.5","4,256.7","4,290.0","1,396.4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,170.20","$4,361.70",$47.58,660.7,503.8,510.3242355,0.002651231,1.2
P003-002884,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M1
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0034
EJE 6-7",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/2/25,3:53:29 PM,714.8,715.0,33.5,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,352.0","3,837.6","3,900.0","3,869.0","14,779.6","4,256.7","4,296.0","1,398.3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$25,809.30","$4,301.55",$46.93,644.8,503.8,510.3242355,0.002651231,1.2
P003-002885,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M1
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0034
EJE 6-7",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/2/25,4:05:40 PM,714.8,714.0,33.4,46.7,46.8,"3,414.0",25.2,25.4,"2,346.3","5,390.5","5,330.0","3,821.8","3,900.0","3,940.0","15,050.8","4,256.7","4,306.0","1,401.6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$26,067.96","$4,344.66",$47.40,656.7,503.8,510.3242355,0.002651231,1.2
P003-002886,Terminado,5.75,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000123,10000135,U-550-1-1-814-E70-D-2-DIA,550.00,"F3-M1
VIADUCTO TIJUANA
PUENTE OTAY
TNU02A_0034
EJE 6-7",TP0036,CR-14,VICENTE HERNANDEZ,No Bombeable,7/2/25,4:16:33 PM,685.0,686.0,32.1,44.7,44.9,"3,271.1",24.1,24.3,"2,246.7","5,165.9","5,107.0","3,661.9","3,737.5","3,687.0","14,084.3","4,079.3","4,116.0","1,339.8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$24,635.94","$4,284.51",$44.79,641.2,503.8,510.3242355,0.002540763,1.2
P003-002887,Terminado,6.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000094,10000104,3-550-2-1-514-E70-D-2-DIA,550.00,"M1-PDF
VIADUCTO TIJUANA
VIADUCTO 03
PDF3002_0017
EJE V03-21",TP0032,CR-10,TOMAS ALBA RIVERA,No Bombeable,7/2/25,6:18:42 PM,728.1,729.0,34.1,43.1,43.2,"3,149.7",21.5,21.7,"2,002.1","5,508.3","5,484.0","3,932.2","3,600.0","3,605.0","13,771.1","2,870.2","2,918.0",949.8,"1,513.3","1,585.0",374.5,0.0,0.0,0.0,0.0,0.0,0.0,"$24,213.53","$4,035.59",$44.02,600.8,503.8,510.3242355,0.002651231,1.1
P003-002888,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000094,10000104,3-550-2-1-514-E70-D-2-DIA,550.00,"M1-PDF
VIADUCTO TIJUANA
VIADUCTO 03
PDF3002_0017
EJE V03-21",TP0034,CR-12,PEDRO SALAZAR,No Bombeable,7/2/25,6:33:03 PM,606.8,607.0,28.4,36.0,36.1,"2,628.3",18.0,18.0,"1,666.9","4,590.3","4,616.0","3,309.8","3,000.0","3,003.0","11,471.5","2,391.9","2,442.0",794.9,"1,261.1","1,271.0",300.3,0.0,0.0,0.0,0.0,0.0,0.0,"$20,200.10","$4,040.02",$36.73,600.6,503.8,510.3242355,0.002209359,1.1
P003-002889,Terminado,1.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,VIADUCTO TIJUANA- ASIGNACION 2,VIADUCTO,20000071,10000078,C-250-1-1-01-75-D-2-DIA,250.00,"VIADUCTO 03
SEGUNDA ETAPA
CAJETINES
CAB3002_0011",TP0033,CR-11,AMILGAR RODRIGUEZ,No Bombeable,7/2/25,8:02:12 PM,120.0,120.0,5.6,7.8,7.8,571.4,4.6,4.6,425.8,897.6,800.0,573.6,650.0,651.0,"2,486.8",709.5,833.0,271.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"$4,334.37","$4,334.37",$17.34,651.0,503.8,510.3242355,0.000441872,2.6
P003-002890,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"686MTT012A_0003
686MTT012_0025
686MTT012_0027
686MTT013_0019
686MTT016_0012
686MTT016_0020
686MTT017_0013
686MTT019_0003
Lpr-06",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/3/25,5:39:32 AM,949.5,950.0,44.5,0.0,0.0,0.0,6.8,7.0,643.2,"3,241.0","3,198.0","2,293.1","2,750.0","2,731.0","10,432.4",0.0,0.0,0.0,"5,024.6","5,058.0","1,195.0",0.0,0.0,0.0,16.5,0.0,0.0,"$14,608.15","$2,921.63",$41.74,546.2,503.8,510.3242355,0.002209359,1.6
P003-002891,Terminado,5.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"686MTT012A_0003
686MTT012_0025
686MTT012_0027
686MTT013_0019
686MTT016_0012
686MTT016_0020
686MTT017_0013
686MTT019_0003
Lpr-06",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/3/25,7:10:42 AM,965.3,966.0,45.2,0.0,0.0,0.0,6.8,7.0,643.2,"3,225.1","3,197.0","2,292.4","2,750.0","2,732.0","10,436.2",0.0,0.0,0.0,"5,024.6","5,016.0","1,185.0",0.0,0.0,0.0,16.5,0.0,0.0,"$14,602.08","$2,920.42",$41.72,546.4,503.8,510.3242355,0.002209359,1.6
P003-002892,Terminado,7.00,CP0032,IMPULSORA TLAXCALTECA DE INDUSTRIAS,NAVE ALAMAR,NAVE ALAMAR,20000370,10000422,F-350-2-1-801-18-D-2-100,350.00,"686MTT012A_0003
686MTT012_0025
686MTT012_0027
686MTT013_0019
686MTT016_0012
686MTT016_0020
686MTT017_0013
686MTT019_0003
Lpr-06",TP0031,CR-09,RODIRGO RODRIGUEZ,No Bombeable,7/3/25,11:17:42 AM,"1,373.6","1,374.0",64.4,0.0,0.0,0.0,9.6,9.7,896.9,"4,493.0","4,452.0","3,192.2","3,850.0","3,857.0","14,733.7",0.0,0.0,0.0,"7,034.4","7,008.0","1,655.6",0.0,0.0,0.0,23.1,0.0,0.0,"$20,542.84","$2,934.69",$58.69,551.0,503.8,510.3242355,0.003093102,1.6
